Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Status
replacement-cylinder-202-series,Replacement Cylinder 202 Series,"<p>RH2+ replacement cylinders collect in-steam sediment and minerals for easy change-out after 1-2 years depending on water supply. <br></p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,"ARS, ASV, BIO, CAD, ECO, NEX, SLA, SNA, STS",true,Title,Default Title,,,,,,,,RH2-RC,0.0,,-22,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/Cylinder900x900.jpg?v=1638480340,1,,false,,,,lb,,active
temperature-sensor-duct-mount,Temperature Sensor Duct Mount,"<p>RH2+ optional <strong>duct-mounted</strong> temperature sensor reads outdoor temperature and resets humidity control setpoint to prevent condensation on windows. <br></p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,"ARS, ASV, BIO, CAD, ECO, NEX, SLA, SNA, STS",true,Title,Default Title,,,,,,,,RH2-TSDM,0.0,,-1,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/OutdoorSensor900x900.jpg?v=1638480432,1,,false,,,,lb,,active
temperature-sensor-outdoor-mount,Temperature Sensor Outdoor Mount,"<p>RH2+ optional <strong>outdoor-mounted</strong> temperature sensor reads outdoor temperature and resets humidity control setpoint to prevent condensation on windows. <br></p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,"ARS, ASV, BIO, CAD, ECO, NEX, SLA, SNA, STS",true,Title,Default Title,,,,,,,,RH2-TSOM,0.0,,-5,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/OutdoorSensor900x900_38fb615e-c4ee-481b-8c3c-45597bbd50cc.jpg?v=1638480443,1,,false,,,,lb,,active
rh2-air-proving-switch,RH2  Air Proving Switch,"<p>RH2+ optional air proving switch for RH2DUCT ensures humidification occurs only when air is moving in the duct. <br></p>
<p><br></p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,"ARS, ASV, BIO, CAD, ECO, NEX, SLA, SNA, STS",true,Title,Default Title,,,,,,,,RH2-APS,0.0,,-25,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/APS900x900.jpg?v=1638480350,1,,false,,,,lb,,active
rh2-digital-wall-humidistat,RH2+ Digital Wall Humidistat,"<p>RH2+ optional <strong>wall-mount</strong> on/off digital control adjusts the amount of moisture in the air to maintain the desired humidity level. <br></p>
<p><br></p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,"ARS, ASV, BIO, CAD, ECO, NEX, SLA, SNA, STS",true,Title,Default Title,,,,,,,,RH2-HWM,0.0,,-11,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/2601561900x900.jpg?v=1638480366,1,,false,,,,lb,,active
rsd-10-steam-distributor,RH2+ Duct Mount Humidistat,"<p>RH2+ optional <strong>duct-mount</strong> on/off digital control adjusts the amount of moisture in the air to maintain the desired humidity level. <br></p>
<p><br></p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,"ARS, ASV, BIO, CAD, ECO, NEX, SLA, SNA, STS",true,Title,Default Title,,,,,,,,RH2-HDM,0.0,,-16,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/2601562900x900.jpg?v=1638480388,1,,false,,,,lb,,active
stratos-air-rh2-steam-humidifier-space-unit,StratosAire RH2+ Steam Humidifier Space Unit,"<p>RH2+ self-generating electrode type steam humidifier for wall-mounting inside the space</p>
<p>Includes integral blower.</p>
<p>110-240VAC</p>
<p>For more information, you can view/download the <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/STS-921_RH2_Space_Steam_Humidifier_Spec_Sheet.pdf?v=1638212957"">Spec Sheet </a>and <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/2601564-A_RH2_Installation_and_Operation_DynamicAir.pdf?v=1638212981"">Install Manual</a>.</p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,STS,false,Title,Default Title,,,,,,,,RH2-SPACE,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/STSHumidSpaceFront900x900.jpg?v=1638480323,1,,false,,,,lb,,draft
pure-air-x-rh2-steam-humidifier-space-unit,Pure Air X RH2+ Steam Humidifier Space Unit,"<p>RH2+ self-generating electrode type steam humidifier for wall-mounting inside the space</p>
<p>Includes integral blower.</p>
<p>110-240VAC</p>
<p>For more information, you can view/download the <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/SRT-921_RH2_Space_Steam_Humidifier_Spec_Sheet.pdf?v=1638212946"">Spec Sheet</a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/CADS-921_RH2_Space_Steam_Humidifier_Spec_Sheet.pdf?v=1638212902""> </a>and <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/2601564-A_RH2_Installation_and_Operation_DynamicAir.pdf?v=1638212981"">Install Manual</a>.</p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,SNA,false,Title,Default Title,,,,,,,,RH2-SPACE,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/SNAHumidSpaceFront900x900.jpg?v=1638480309,1,,false,,,,lb,,draft
solace-air-rh2-steam-humidifier-space-unit,SolaceAir RH2+ Steam Humidifier Space Unit,"<p>RH2+ self-generating electrode type steam humidifier for wall-mounting inside the space</p>
<p>Includes integral blower.</p>
<p>110-240VAC</p>
<p>For more information, you can view/download the <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/SLA-921_RH2_Space_Steam_Humidifier_Spec_Sheet.pdf?v=1638212937"">Spec Shee</a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/NEX-921_RH2_Space_Steam_Humidifier_Spec_Sheet.pdf?v=1638212921"">t</a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/CADS-921_RH2_Space_Steam_Humidifier_Spec_Sheet.pdf?v=1638212902""> </a>and <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/2601564-A_RH2_Installation_and_Operation_DynamicAir.pdf?v=1638212981"">Install Manual</a>.</p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,"BIO, SLA",false,Title,Default Title,,,,,,,,RH2-SPACE,0.0,,-1,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/SLAHumidSpaceFront900x900.jpg?v=1638480316,1,,false,,,,lb,,draft
pristine-air-rh2-steam-humidifier-space-unit,Pristine Air RH2+ Steam Humidifier Space Unit,"<p>RH2+ self-generating electrode type steam humidifier for wall-mounting inside the space</p>
<p>Includes integral blower.</p>
<p>110-240VAC</p>
<p>For more information, you can view/download the <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/NEX-921_RH2_Space_Steam_Humidifier_Spec_Sheet.pdf?v=1638212921"">Spec Sheet</a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/CADS-921_RH2_Space_Steam_Humidifier_Spec_Sheet.pdf?v=1638212902""> </a>and <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/2601564-A_RH2_Installation_and_Operation_DynamicAir.pdf?v=1638212981"">Install Manual</a>.</p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,NEX,false,Title,Default Title,,,,,,,,RH2-SPACE,0.0,,-1,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/NEXHumidSpaceFront900x900.jpg?v=1638480301,1,,false,,,,lb,,draft
eco-healthy-home-rh2-steam-humidifier-space-unit,Eco Healthy Home RH2+ Steam Humidifier Space Unit,"<p>RH2+ self-generating electrode type steam humidifier for wall-mounting inside the space</p>
<p>Includes integral blower.</p>
<p>110-240VAC</p>
<p>For more information, you can view/download the <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ECO-921_RH2_Space_Steam_Humidifier_Spec_Sheet.pdf?v=1638212912"">Spec Sheet</a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/CADS-921_RH2_Space_Steam_Humidifier_Spec_Sheet.pdf?v=1638212902""> </a>and <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/2601564-A_RH2_Installation_and_Operation_DynamicAir.pdf?v=1638212981"">Install Manual</a>.</p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,ECO,false,Title,Default Title,,,,,,,,RH2-SPACE,0.0,,-1,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/ECOHumidSpaceFront900x900.jpg?v=1638480292,1,,false,,,,lb,,draft
clean-air-defense-system-rh2-steam-humidifier-space-unit,Clean Air Defense System RH2+ Steam Humidifier Space Unit,"<p>RH2+ self-generating electrode type steam humidifier for wall-mounting inside the space</p>
<p>Includes integral blower.</p>
<p>110-240VAC</p>
<p>For more information, you can view/download the <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/CADS-921_RH2_Space_Steam_Humidifier_Spec_Sheet.pdf?v=1638212902"">Spec Sheet </a>and <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/2601564-A_RH2_Installation_and_Operation_DynamicAir.pdf?v=1638212981"">Install Manual</a>.</p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,CAD,false,Title,Default Title,,,,,,,,RH2-SPACE,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/CADSHumidSpaceFront900x900.jpg?v=1638480284,1,,false,,,,lb,,draft
ars-rh2-steam-humidifier-space-unit,ARS RH2+ Steam Humidifier Space Unit,"<p>RH2+ self-generating electrode type steam humidifier for wall-mounting inside the space</p>
<p>Includes integral blower.</p>
<p>110-240VAC</p>
<p>For more information, you can view/download the <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ARS-921_RH2_Space_Steam_Humidifier_Spec_Sheet.pdf?v=1638212884"">Spec Sheet</a> and <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/2601564-A_RH2_Installation_and_Operation_DynamicAir.pdf?v=1638212981"">Install Manual</a>.</p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,ARS,false,Title,Default Title,,,,,,,,RH2-SPACE,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/ARSHumidSpaceFront900x900.jpg?v=1638480278,1,,false,,,,lb,,draft
stratos-air-home-rh2-steam-humidifier-ducted,StratosAire RH2+ Steam Humidifier Ducted,"<p>RH2+ self-generating electrode type steam humidifier for ducted applications.</p>
<p>Includes steam hose kit and steam distributor.</p>
<p>110-240VAC</p>
<p>For more information, you can view/download the <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/STS-920_RH2_Ducted_Steam_Humidifier_Spec_Sheet.pdf?v=1638212872"">Spec Sheet</a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ECO-920_RH2_Ducted_Steam_Humidifier_Spec_Sheet.pdf?v=1638210466""> </a>and <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/2601564-A_RH2_Installation_and_Operation_DynamicAir.pdf?v=1638212981"">Install Manual</a>.</p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,STS,false,Title,Default Title,,,,,,,,RH2-DUCT,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/STSHumidDuctFront900x900.jpg?v=1638480258,1,,false,,,,lb,,draft
pure-air-x-home-rh2-steam-humidifier-ducted,Pure Air X RH2+ Steam Humidifier Ducted,"<p>RH2+ self-generating electrode type steam humidifier for ducted applications.</p>
<p>Includes steam hose kit and steam distributor.</p>
<p>110-240VAC</p>
<p>For more information, you can view/download the <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/SRT-920_RH2_Ducted_Steam_Humidifier_Spec_Sheet.pdf?v=1638210537"">Spec Sheet</a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ECO-920_RH2_Ducted_Steam_Humidifier_Spec_Sheet.pdf?v=1638210466""> </a>and <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/2601564-A_RH2_Installation_and_Operation_DynamicAir.pdf?v=1638212981"">Install Manual</a>.</p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,SNA,false,Title,Default Title,,,,,,,,RH2-DUCT,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/SNAHumidDuctFront900x900.jpg?v=1638480243,1,,false,,,,lb,,draft
solace-air-home-rh2-steam-humidifier-ducted,SolaceAir RH2+ Steam Humidifier Ducted,"<p>RH2+ self-generating electrode type steam humidifier for ducted applications.</p>
<p>Includes steam hose kit and steam distributor.</p>
<p>110-240VAC</p>
<p>For more information, you can view/download the <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/SLA-920_RH2_Ducted_Steam_Humidifier_Spec_Sheet.pdf?v=1638210496"">Spec Sheet</a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ECO-920_RH2_Ducted_Steam_Humidifier_Spec_Sheet.pdf?v=1638210466""> </a>and <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/2601564-A_RH2_Installation_and_Operation_DynamicAir.pdf?v=1638212981"">Install Manual</a>.</p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,"BIO, SLA",false,Title,Default Title,,,,,,,,RH2-DUCT,0.0,,-7,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/SLAHumidDuctFront900x900.jpg?v=1638480251,1,,false,,,,lb,,draft
eco-healthy-home-rh2-steam-humidifier-ducted,Eco Healthy Home RH2+ Steam Humidifier Ducted,"<p>RH2+ self-generating electrode type steam humidifier for ducted applications.</p>
<p>Includes steam hose kit and steam distributor.</p>
<p>110-240VAC</p>
<p>For more information, you can view/download the <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ECO-920_RH2_Ducted_Steam_Humidifier_Spec_Sheet.pdf?v=1638210466"">Spec Sheet </a>and <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/2601564-A_RH2_Installation_and_Operation_DynamicAir.pdf?v=1638212981"">Install Manual</a>.</p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,ECO,false,Title,Default Title,,,,,,,,RH2-DUCT,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/ECOHumidDuctFront900x900.jpg?v=1638480212,1,,false,,,,lb,,draft
pristine-air-defense-system-rh2-steam-humidifier-ducted,Pristine Air RH2+ Steam Humidifier Ducted,"<p>RH2+ self-generating electrode type steam humidifier for ducted applications.</p>
<p>Includes steam hose kit and steam distributor.</p>
<p>110-240VAC</p>
<p>For more information, you can view/download the <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/NEX-920_RH2_Ducted_Steam_Humidifier_Spec_Sheet.pdf?v=1638210481"">Spec Sheet</a> and <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/2601564-A_RH2_Installation_and_Operation_DynamicAir.pdf?v=1638212981"">Install Manual</a>.</p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,NEX,false,Title,Default Title,,,,,,,,RH2-DUCT,0.0,,-3,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/NEXHumidDuctFront900x900.jpg?v=1638480229,1,,false,,,,lb,,draft
clean-air-defense-system-rh2-steam-humidifier-ducted,Clean Air Defense System RH2+ Steam Humidifier Ducted,"<p>RH2+ self-generating electrode type steam humidifier for ducted applications.</p>
<p>Includes steam hose kit and steam distributor.</p>
<p>110-240VAC</p>
<p>For more information, you can view/download the <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/CADS-920_RH2_Ducted_Steam_Humidifier_Spec_Sheet.pdf?v=1638210430"">Spec Sheet</a> and <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/2601564-A_RH2_Installation_and_Operation_DynamicAir.pdf?v=1638212981"">Install Manual</a>.</p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,CAD,false,Title,Default Title,,,,,,,,RH2-DUCT,0.0,,-2,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/CADSHumidDuctFront900x900.jpg?v=1638480205,1,,false,,,,lb,,draft
aireserv-rh2-steam-humidifier-ducted-1,AireServ RH2+ Steam Humidifier Ducted,"<p>RH2+ self-generating electrode type steam humidifier for ducted applications.</p>
<p>Includes steam hose kit and steam distributor.</p>
<p>110-240VAC</p>
<p>For more information, you can view/download the <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ASV-920_RH2_Ducted_Steam_Humidifier_Spec_Sheet.pdf?v=1638210422"">Spec Shee</a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ARS-920_RH2_Ducted_Steam_Humidifier_Spec_Sheet.pdf?v=1638210411"">t</a> and <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/2601564-A_RH2_Installation_and_Operation_DynamicAir.pdf?v=1638212981"">Install Manual</a>.</p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,ASV,false,Title,Default Title,,,,,,,,RH2-DUCT,0.0,,-11,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/ASVHumidDuctFront900x900.jpg?v=1638480181,1,,false,,,,lb,,draft
aireserv-rh2-steam-humidifier-space-unit,AireServ   RH2+ Steam Humidifier Space Unit,"<p>RH2+ self-generating electrode type steam humidifier for wall-mounting inside the space</p>
<p>Includes integral blower.</p>
<p>110-240VAC</p>
<p>For more information, you can view/download the <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ASV-921_RH2_Space_Steam_Humidifier_Spec_Sheet.pdf?v=1638212893"">Spec Sheet</a> and <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/2601564-A_RH2_Installation_and_Operation_DynamicAir.pdf?v=1638212981"">Install Manual</a>.</p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,ASV,false,Title,Default Title,,,,,,,,RH2-SPACE,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/ASVHumidSpaceFront900x900.jpg?v=1638480270,1,,false,,,,lb,,draft
ars-rh2-steam-humidifier-ducted,ARS RH2+ Steam Humidifier Ducted,"<p>RH2+ self-generating electrode type steam humidifier for ducted applications.</p>
<p>Includes steam hose kit and steam distributor.</p>
<p>110-240VAC</p>
<p>For more information, you can view/download the <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ASV-920_RH2_Ducted_Steam_Humidifier_Spec_Sheet.pdf?v=1638210422"">S</a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ARS-920_RH2_Ducted_Steam_Humidifier_Spec_Sheet.pdf?v=1638210411"">pec Sheet</a> and <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/2601564-A_RH2_Installation_and_Operation_DynamicAir.pdf?v=1638212981"">Install Manual</a>.</p>
<p> </p>",Dynamic AQS,Home & Garden > Household Appliances > Climate Control Appliances > Humidifiers,Humidifiers,ARS,false,Title,Default Title,,,,,,,,RH2-DUCT,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/ARSHumidDuctFront900x900.jpg?v=1638480197,1,,false,,,,lb,,draft
pristine-air-home-show-kit,Pristine Air Home Show Kit,"<p><strong>This kit comes with:</strong></p>
<p>1 -UV Demo Display (Part#LPC36NONUV)</p>
<p>1 -Polarized-Media Air Cleaner Demo Unit (Part# 1LPD1410WITHCASE)</p>
<p>1 - Video Book (Part#VB2020)</p>
<p>20 - Clean Air Provided By Stickers (Part# NEX-607)</p>
<p>2 - Consumer Handbooks (Part# <span data-mce-fragment=""1"">NEX</span>-233)</p>
<p>1  Training Poster (Part# <span data-mce-fragment=""1"">NEX</span>-609)</p>
<p>100  Fixed Mount or Remote Mount Total Home Solutions brochures (Part# <span data-mce-fragment=""1"">NEX</span>-252FM or <span data-mce-fragment=""1"">NEX</span>-252RM)</p>
<p><span>Limit - 1 per order</span></p>",Dynamic AQS,Uncategorized,Marketing and Training,NEX,true,UV Brochure,Fixed Mount UV,,,,,,,,B-NEXFMHOMESHOWKIT,0.0,,-4,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/NEXHomeShowKit.jpg?v=1636667879,1,,false,,,,lb,,active
pristine-air-home-show-kit,,,,,,,,,Remote Mount UV,,,,,,,,B-NEXRMHOMESHOWKIT,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/NEXHomeShowKitDescriptions.jpg?v=1636667881,2,,,,,,lb,,
stratos-aire-home-show-kit,StratosAire Home Show Kit,"<p><strong>This kit comes with:</strong></p>
<p>1 -UV Demo Display (Part#LPC36NONUV)</p>
<p>1 -Polarized-Media Air Cleaner Demo Unit (Part# 1LPD1410WITHCASE)</p>
<p>1 - Video Book (Part#VB2020)</p>
<p>20 - Clean Air Provided By Stickers (Part# STS-607)</p>
<p>2 - Consumer Handbooks (Part# <span data-mce-fragment=""1"">STS</span>-233)</p>
<p>1  Training Poster (Part# <span data-mce-fragment=""1"">STS</span>-609)</p>
<p>100  Fixed Mount or Remote Mount Total Home Solutions brochures (Part# <span data-mce-fragment=""1"">STS</span>-252FM or <span data-mce-fragment=""1"">STS</span>-252RM)</p>
<p><span>Limit - 1 per order</span></p>",Dynamic AQS,Uncategorized,Marketing and Training,STS,true,UV Brochure,Fixed Mount UV,,,,,,,,B-STSFMHOMESHOWKIT,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/STSHomeShowKit.jpg?v=1636667911,1,,false,,,,lb,,active
stratos-aire-home-show-kit,,,,,,,,,Remote Mount UV,,,,,,,,B-STSRMHOMESHOWKIT,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/STSHomeShowKitDescriptions.jpg?v=1636667912,2,,,,,,lb,,
clean-air-defense-home-show-kit,Clean Air Defense Home Show Kit,"<p><strong>This kit comes with:</strong></p>
<p>1 -UV Demo Display (Part#LPC36NONUV)</p>
<p>1 -Polarized-Media Air Cleaner Demo Unit (Part# 1LPD1410WITHCASE)</p>
<p>1 - Video Book (Part#VB2020)</p>
<p>20 - Clean Air Provided By Stickers (Part# CADS-607)</p>
<p>2 - Consumer Handbooks (Part#<span data-mce-fragment=""1"">CADS</span>-233)</p>
<p>1  Training Poster (Part# <span data-mce-fragment=""1"">CADS</span>-609)</p>
<p>100  Fixed Mount or Remote Mount Total Home Solutions brochures (Part# <span data-mce-fragment=""1"">CADS</span>-252FM or <span data-mce-fragment=""1"">CADS</span>-252RM)</p>
<p><span>Limit - 1 per order</span></p>",Dynamic AQS,Uncategorized,Marketing and Training,CAD,true,UV Brochure,Fixed Mount UV,,,,,,,,B-CADSFMHOMESHOWKIT,0.0,,-4,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/CADSHomeShowKit.jpg?v=1636667853,1,,false,,,,lb,,active
clean-air-defense-home-show-kit,,,,,,,,,Remote Mount UV,,,,,,,,B-CADSRMHOMESHOWKIT,0.0,,-3,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/CADSHomeShowKitDescriptions.jpg?v=1636667855,2,,,,,,lb,,
ecohealthyhome-home-show-kit,EcoHealthyHome Home Show Kit,"<p><strong>This kit comes with:</strong></p>
<p>1 -UV Demo Display (Part#LPC36NONUV)</p>
<p>1 -Polarized-Media Air Cleaner Demo Unit (Part# 1LPD1410WITHCASE)</p>
<p>1 - Video Book (Part#VB2020)</p>
<p>20 - Clean Air Provided By Stickers (Part# ECO-607)</p>
<p>2 - Consumer Handbooks (Part#<span data-mce-fragment=""1"">ECO</span>-233)</p>
<p>1  Training Poster (Part# <span data-mce-fragment=""1"">ECO</span>-609)</p>
<p>100  Fixed Mount or Remote Mount Total Home Solutions brochures (Part# <span data-mce-fragment=""1"">ECO</span>-252FM or <span data-mce-fragment=""1"">ECO</span>-252RM)</p>
<p><span>Limit - 1 per order</span></p>",Dynamic AQS,Uncategorized,Marketing and Training,ECO,true,UV Brochure,Fixed Mount UV,,,,,,,,B-ECOFMHOMESHOWKIT,0.0,,-1,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/ECOHomeShowKit.jpg?v=1636667867,1,,false,,,,lb,,active
ecohealthyhome-home-show-kit,,,,,,,,,Remote Mount UV,,,,,,,,B-ECORMHOMESHOWKIT,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/ECOHomeShowKitDescriptions.jpg?v=1636667868,2,,,,,,lb,,
pureairx-home-show-kit,PureAirX Home Show Kit,"<p><strong>This kit comes with:</strong></p>
<p>1 -UV Demo Display (Part#LPC36NONUV)</p>
<p>1 -Polarized-Media Air Cleaner Demo Unit (Part# 1LPD1410WITHCASE)</p>
<p>1 - Video Book (Part#VB2020)</p>
<p>20 - Clean Air Provided By Stickers (Part# SRT-607)</p>
<p>2 - Consumer Handbooks (Part# SRT-233)</p>
<p>1  Training Poster (Part# S<span data-mce-fragment=""1"" mce-data-marked=""1"">RT</span>-609)</p>
<p>100  Fixed Mount or Remote Mount Total Home Solutions brochures (Part# <span data-mce-fragment=""1"">S</span><span data-mce-fragment=""1"" mce-data-marked=""1"">RT</span>-252FM or <span data-mce-fragment=""1"">S</span><span data-mce-fragment=""1"" mce-data-marked=""1"">RT</span>-252RM)</p>
<p><span>Limit - 1 per order</span></p>",Dynamic AQS,Uncategorized,Marketing and Training,SNA,true,UV Brochure,Fixed Mount UV,,,,,,,,B-SRTFMHOMESHOWKIT,0.0,,-2,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/products/SNAHomeShowKit.jpg?v=1636667893,1,,false,,,,lb,,active
